ReadingID,StationName,DateTime,RoadSurfaceTemperature,AirTemperature
0,SpokaneSwingBridge,2019-09-18T02:02:00.000,57.45,61.86
1,NE45StViaduct,2019-09-18T15:12:00.000,78.25,68.4
2,AlbroPlaceAirportWay,2019-09-17T02:17:00.000,18.76,27.24
3,AlbroPlaceAirportWay,2019-09-17T02:18:00.000,18.77,27.28
4,AlbroPlaceAirportWay,2019-09-17T02:19:00.000,18.78,27.3
5,AlbroPlaceAirportWay,2019-09-17T02:20:00.000,18.8,27.29
6,HarborAveUpperNorthBridge,2019-09-17T02:16:00.000,60.22,57.73
7,HarborAveUpperNorthBridge,2019-09-17T02:17:00.000,60.2,57.75
8,HarborAveUpperNorthBridge,2019-09-17T02:18:00.000,60.19,57.79
9,HarborAveUpperNorthBridge,2019-09-17T02:19:00.000,60.17,57.81
10,HarborAveUpperNorthBridge,2019-09-17T02:20:00.000,60.16,57.79
11,HarborAveUpperNorthBridge,2019-09-17T02:21:00.000,60.15,57.8
12,HarborAveUpperNorthBridge,2019-09-17T02:22:00.000,60.15,57.83
13,HarborAveUpperNorthBridge,2019-09-17T02:23:00.000,60.14,57.84
14,HarborAveUpperNorthBridge,2019-09-17T02:24:00.000,60.12,57.84
15,HarborAveUpperNorthBridge,2019-09-17T02:25:00.000,60.11,57.81
16,HarborAveUpperNorthBridge,2019-09-17T02:26:00.000,60.1,57.82
17,HarborAveUpperNorthBridge,2019-09-17T02:27:00.000,60.09,57.82
18,HarborAveUpperNorthBridge,2019-09-17T02:28:00.000,60.06,57.82
19,HarborAveUpperNorthBridge,2019-09-17T02:29:00.000,60.06,57.82
20,HarborAveUpperNorthBridge,2019-09-17T02:30:00.000,60.05,57.8
21,RooseveltWay_NE80thSt,2019-09-17T02:16:00.000,61.13,61.13
22,RooseveltWay_NE80thSt,2019-09-17T02:17:00.000,61.13,61.13
23,RooseveltWay_NE80thSt,2019-09-17T02:18:00.000,61.13,61.13
24,RooseveltWay_NE80thSt,2019-09-17T02:19:00.000,61.13,61.13
25,RooseveltWay_NE80thSt,2019-09-17T02:20:00.000,61.13,61.13
26,RooseveltWay_NE80thSt,2019-09-17T02:21:00.000,61.13,61.13
27,RooseveltWay_NE80thSt,2019-09-17T02:22:00.000,61.13,61.13
28,RooseveltWay_NE80thSt,2019-09-17T02:23:00.000,61.13,61.13
29,RooseveltWay_NE80thSt,2019-09-17T02:24:00.000,61.12,61.12
30,RooseveltWay_NE80thSt,2019-09-17T02:25:00.000,61.13,61.13
31,RooseveltWay_NE80thSt,2019-09-17T02:26:00.000,61.13,61.13
32,RooseveltWay_NE80thSt,2019-09-17T02:27:00.000,61.13,61.13
33,RooseveltWay_NE80thSt,2019-09-17T02:28:00.000,61.13,61.13
34,RooseveltWay_NE80thSt,2019-09-17T02:29:00.000,61.14,61.14
35,RooseveltWay_NE80thSt,2019-09-17T02:30:00.000,61.14,61.14
36,AlbroPlaceAirportWay,2019-09-17T02:26:00.000,18.84,27.17
37,AlbroPlaceAirportWay,2019-09-17T02:27:00.000,18.85,27.15
38,AlbroPlaceAirportWay,2019-09-17T02:28:00.000,18.86,27.15
39,AlbroPlaceAirportWay,2019-09-17T02:29:00.000,18.88,27.13
40,AlbroPlaceAirportWay,2019-09-17T02:30:00.000,18.88,27.12
41,AlbroPlaceAirportWay,2019-09-17T02:31:00.000,18.88,27.11
42,AlbroPlaceAirportWay,2019-09-17T02:32:00.000,18.9,27.09
43,AlbroPlaceAirportWay,2019-09-17T02:33:00.000,18.91,27.09
44,AlbroPlaceAirportWay,2019-09-17T02:34:00.000,18.92,27.09
45,AlbroPlaceAirportWay,2019-09-17T02:35:00.000,18.92,27.09
46,AlbroPlaceAirportWay,2019-09-17T02:36:00.000,18.93,27.09
47,AlbroPlaceAirportWay,2019-09-17T02:37:00.000,18.94,27.12
48,AlbroPlaceAirportWay,2019-09-17T02:38:00.000,18.96,27.13
49,AlbroPlaceAirportWay,2019-09-17T02:39:00.000,18.96,27.13
50,AlbroPlaceAirportWay,2019-09-17T02:40:00.000,18.96,27.09
51,35thAveSW_SWMyrtleSt,2019-09-17T02:26:00.000,63.77,63.77
52,35thAveSW_SWMyrtleSt,2019-09-17T02:27:00.000,63.77,63.77
53,35thAveSW_SWMyrtleSt,2019-09-17T02:28:00.000,63.77,63.77
54,35thAveSW_SWMyrtleSt,2019-09-17T02:29:00.000,63.77,63.77
55,35thAveSW_SWMyrtleSt,2019-09-17T02:30:00.000,63.77,63.77
56,35thAveSW_SWMyrtleSt,2019-09-17T02:31:00.000,63.77,63.77
57,35thAveSW_SWMyrtleSt,2019-09-17T02:32:00.000,63.77,63.77
58,35thAveSW_SWMyrtleSt,2019-09-17T02:33:00.000,63.77,63.77
59,35thAveSW_SWMyrtleSt,2019-09-17T02:34:00.000,63.76,63.76
60,35thAveSW_SWMyrtleSt,2019-09-17T02:35:00.000,63.77,63.77
61,35thAveSW_SWMyrtleSt,2019-09-17T02:36:00.000,63.76,63.76
62,35thAveSW_SWMyrtleSt,2019-09-17T02:37:00.000,63.76,63.76
63,35thAveSW_SWMyrtleSt,2019-09-17T02:38:00.000,63.75,63.75
64,35thAveSW_SWMyrtleSt,2019-09-17T02:39:00.000,63.74,63.74
65,35thAveSW_SWMyrtleSt,2019-09-17T02:40:00.000,63.73,63.73
66,NE45StViaduct,2019-09-17T02:26:00.000,62.7,58.34
67,NE45StViaduct,2019-09-17T02:27:00.000,62.69,58.38
68,NE45StViaduct,2019-09-17T02:28:00.000,62.68,58.39
69,NE45StViaduct,2019-09-17T02:29:00.000,62.66,58.39
70,NE45StViaduct,2019-09-17T02:30:00.000,62.65,58.41
71,NE45StViaduct,2019-09-17T02:31:00.000,62.64,58.43
72,NE45StViaduct,2019-09-17T02:32:00.000,62.63,58.47
73,NE45StViaduct,2019-09-17T02:33:00.000,62.62,58.5
74,NE45StViaduct,2019-09-17T02:34:00.000,62.6,58.53
75,NE45StViaduct,2019-09-17T02:35:00.000,62.59,58.53
76,NE45StViaduct,2019-09-17T02:36:00.000,62.58,58.53
77,NE45StViaduct,2019-09-17T02:37:00.000,62.56,58.55
78,NE45StViaduct,2019-09-17T02:38:00.000,62.55,58.56
79,NE45StViaduct,2019-09-17T02:39:00.000,62.54,58.6
80,NE45StViaduct,2019-09-17T02:40:00.000,62.53,58.62
81,MagnoliaBridge,2019-09-17T02:26:00.000,60.37,57.73
82,MagnoliaBridge,2019-09-17T02:27:00.000,60.36,57.76
83,MagnoliaBridge,2019-09-17T02:28:00.000,60.35,57.77
84,MagnoliaBridge,2019-09-17T02:29:00.000,60.34,57.77
85,MagnoliaBridge,2019-09-17T02:30:00.000,60.33,57.77
86,MagnoliaBridge,2019-09-17T02:31:00.000,60.32,57.74
87,MagnoliaBridge,2019-09-17T02:32:00.000,60.33,57.73
88,MagnoliaBridge,2019-09-17T02:33:00.000,60.33,57.74
89,MagnoliaBridge,2019-09-17T02:34:00.000,60.32,57.76
90,MagnoliaBridge,2019-09-17T02:35:00.000,60.29,57.73
91,MagnoliaBridge,2019-09-17T02:36:00.000,60.29,57.7
92,MagnoliaBridge,2019-09-17T02:37:00.000,60.29,57.69
93,MagnoliaBridge,2019-09-17T02:38:00.000,60.28,57.68
94,MagnoliaBridge,2019-09-17T02:39:00.000,60.28,57.66
95,MagnoliaBridge,2019-09-17T02:40:00.000,60.28,57.64
96,HarborAveUpperNorthBridge,2019-09-17T02:36:00.000,59.98,57.66
97,HarborAveUpperNorthBridge,2019-09-17T02:37:00.000,59.97,57.66
98,HarborAveUpperNorthBridge,2019-09-17T02:38:00.000,59.96,57.64
99,HarborAveUpperNorthBridge,2019-09-17T02:39:00.000,59.96,57.64
100,SpokaneSwingBridge,2019-09-17T14:17:00.000,62.5,62.02
101,AlbroPlaceAirportWay,2019-09-17T17:05:00.000,22.07,23.33
102,AuroraBridge,2019-09-17T17:57:00.000,62.97,60.3
103,35thAveSW_SWMyrtleSt,2019-09-17T18:20:00.000,64.28,64.28
104,RooseveltWay_NE80thSt,2019-09-17T18:17:00.000,61.63,61.63
105,RooseveltWay_NE80thSt,2019-09-17T18:20:00.000,61.59,61.59
106,RooseveltWay_NE80thSt,2019-09-17T18:26:00.000,61.55,61.55
