,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
0,F,0.525,0.43,0.125,0.813,0.3315,0.166,0.1775,12
1,M,0.625,0.495,0.18,1.0815,0.4715,0.254,0.3135,10
2,F,0.505,0.39,0.115,0.66,0.3045,0.1555,0.175,8
3,I,0.415,0.31,0.105,0.3595,0.16699999999999998,0.083,0.0915,6
4,M,0.53,0.41,0.14,0.6809999999999999,0.3095,0.1415,0.1835,6
5,F,0.5,0.385,0.105,0.498,0.1795,0.1095,0.17,17
6,I,0.54,0.39,0.125,0.6255,0.2525,0.158,0.19,8
7,M,0.765,0.6,0.22,2.302,1.0070000000000001,0.509,0.6205,12
8,M,0.55,0.42,0.16,1.3405,0.6325,0.311,0.344,10
9,M,0.615,0.47,0.155,1.2,0.5085,0.32,0.292,8
10,F,0.655,0.52,0.19,1.4545,0.6,0.3865,0.38299999999999995,10
11,M,0.565,0.44,0.185,0.909,0.344,0.2325,0.255,15
12,I,0.575,0.44,0.125,0.8515,0.4555,0.1715,0.1965,9
13,M,0.515,0.4,0.14,0.6335,0.28800000000000003,0.145,0.168,9
14,I,0.475,0.42,0.16,0.7095,0.35,0.1505,0.1845,8
15,F,0.58,0.45,0.155,0.93,0.385,0.24600000000000002,0.265,9
16,F,0.61,0.46,0.145,1.1185,0.478,0.2945,0.2985,10
17,M,0.475,0.355,0.12,0.48,0.23399999999999999,0.1015,0.135,8
18,I,0.565,0.44,0.175,0.8735,0.414,0.21,0.21,11
19,I,0.375,0.29,0.095,0.2875,0.12300000000000001,0.0605,0.08,6
20,I,0.35,0.26,0.095,0.21100000000000002,0.086,0.055999999999999994,0.068,7
21,M,0.7,0.535,0.16,1.7255,0.63,0.2635,0.54,19
22,F,0.575,0.46,0.145,0.9945,0.466,0.22899999999999998,0.265,7
23,M,0.68,0.52,0.195,1.4535,0.5920000000000001,0.391,0.4125,10
24,M,0.53,0.425,0.13,0.7020000000000001,0.2975,0.1395,0.22,9
25,M,0.505,0.395,0.125,0.635,0.29,0.1555,0.175,9
26,I,0.32,0.235,0.08,0.1485,0.064,0.031,0.045,6
27,I,0.49,0.39,0.12,0.511,0.2205,0.10300000000000001,0.1745,9
28,F,0.525,0.41,0.135,0.7905,0.4065,0.198,0.177,8
29,I,0.44,0.325,0.1,0.4165,0.185,0.0865,0.11,6
30,F,0.415,0.305,0.105,0.3605,0.12,0.08199999999999999,0.1,10
31,I,0.37,0.28,0.095,0.2655,0.122,0.052000000000000005,0.08,7
32,I,0.475,0.365,0.115,0.45899999999999996,0.2175,0.09300000000000001,0.1165,7
33,F,0.66,0.5,0.165,1.1905,0.4585,0.298,0.37,12
34,M,0.68,0.53,0.205,1.496,0.5825,0.337,0.465,14
35,M,0.65,0.52,0.195,1.676,0.693,0.44,0.47,15
36,F,0.61,0.49,0.17,1.137,0.4605,0.2825,0.344,12
37,F,0.64,0.485,0.185,1.4195,0.6735,0.3465,0.3255,11
38,I,0.36,0.26,0.09,0.1785,0.0645,0.037000000000000005,0.075,7
39,F,0.67,0.525,0.195,1.37,0.6065,0.2955,0.40700000000000003,12
40,I,0.23,0.175,0.065,0.0645,0.026000000000000002,0.0105,0.02,5
41,M,0.77,0.605,0.175,2.0505,0.8005,0.526,0.355,11
42,I,0.43,0.33,0.1,0.449,0.254,0.0825,0.09699999999999999,6
43,F,0.65,0.5,0.165,1.1445,0.485,0.218,0.365,12
44,I,0.44,0.34,0.125,0.4895,0.1735,0.0875,0.2,13
45,M,0.58,0.44,0.15,1.0465,0.518,0.2185,0.2795,10
46,I,0.56,0.425,0.14,0.9175,0.4005,0.1975,0.26,10
47,M,0.65,0.485,0.14,1.175,0.475,0.2435,0.215,8
48,F,0.555,0.44,0.145,0.8815,0.43,0.1975,0.2155,8
49,M,0.69,0.54,0.185,1.6195,0.5329999999999999,0.353,0.555,24
50,F,0.6,0.505,0.19,1.129,0.4385,0.256,0.36,13
51,M,0.475,0.37,0.125,0.537,0.222,0.1215,0.15,9
52,I,0.45,0.33,0.105,0.44799999999999995,0.20800000000000002,0.08900000000000001,0.12,9
53,F,0.58,0.475,0.165,1.0385,0.414,0.26,0.305,13
54,M,0.625,0.495,0.155,1.177,0.5055,0.278,0.345,9
55,I,0.62,0.485,0.17,1.208,0.4805,0.3045,0.33,15
56,I,0.37,0.275,0.1,0.2815,0.1505,0.0505,0.068,5
57,M,0.525,0.43,0.165,0.8645,0.376,0.1945,0.2515,16
58,M,0.66,0.535,0.19,1.5905,0.6425,0.297,0.5175,9
59,I,0.21,0.15,0.055,0.0455,0.02,0.0065,0.013000000000000001,4
60,I,0.485,0.375,0.13,0.5535,0.266,0.11199999999999999,0.157,8
61,M,0.655,0.52,0.17,1.1445,0.53,0.223,0.348,9
62,I,0.55,0.405,0.15,0.6755,0.3015,0.1465,0.21,10
63,F,0.58,0.46,0.15,0.9955,0.429,0.212,0.26,19
64,M,0.52,0.385,0.165,0.7909999999999999,0.375,0.18,0.1815,10
65,F,0.605,0.47,0.155,0.9740000000000001,0.39299999999999996,0.22399999999999998,0.3345,9
66,I,0.39,0.31,0.085,0.344,0.18100000000000002,0.0695,0.079,7
67,F,0.665,0.51,0.175,1.3805,0.675,0.2985,0.325,10
68,F,0.61,0.45,0.16,1.136,0.414,0.311,0.3,9
69,M,0.515,0.4,0.16,0.8175,0.2515,0.156,0.3,23
70,M,0.555,0.435,0.14,0.7495,0.341,0.1645,0.214,8
