country,uniqueid,bank_account,location_type,cellphone_access,household_size,age_of_respondent,gender_of_respondent,relationship_with_head,marital_status,education_level,job_type
Kenya,uniqueid_1,Yes,Rural,Yes,3,24,Female,Spouse,Married/Living together,Secondary education,Self employed
Kenya,uniqueid_2,No,Rural,No,5,70,Female,Head of Household,Widowed,No formal education,Government Dependent
Kenya,uniqueid_3,Yes,Urban,Yes,5,26,Male,Other relative,Single/Never Married,Vocational/Specialised training,Self employed
Kenya,uniqueid_4,No,Rural,Yes,5,34,Female,Head of Household,Married/Living together,Primary education,Formally employed Private
Kenya,uniqueid_5,No,Urban,No,8,26,Male,Child,Single/Never Married,Primary education,Informally employed
Kenya,uniqueid_6,No,Rural,No,7,26,Female,Spouse,Married/Living together,Primary education,Informally employed
Kenya,uniqueid_7,No,Rural,Yes,7,32,Female,Spouse,Married/Living together,Primary education,Self employed
Kenya,uniqueid_8,No,Rural,Yes,1,42,Female,Head of Household,Married/Living together,Tertiary education,Formally employed Government
Kenya,uniqueid_9,Yes,Rural,Yes,3,54,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Kenya,uniqueid_10,No,Urban,Yes,3,76,Female,Head of Household,Divorced/Seperated,No formal education,Remittance Dependent
Kenya,uniqueid_11,No,Rural,Yes,5,40,Female,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Kenya,uniqueid_12,Yes,Rural,Yes,3,69,Male,Head of Household,Married/Living together,Secondary education,Other Income
Kenya,uniqueid_13,No,Rural,No,6,64,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Kenya,uniqueid_14,No,Rural,No,8,31,Female,Spouse,Married/Living together,Primary education,Self employed
Kenya,uniqueid_15,No,Urban,Yes,4,26,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,uniqueid_16,No,Rural,Yes,7,38,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,uniqueid_17,No,Urban,Yes,1,47,Female,Head of Household,Married/Living together,Secondary education,Self employed
Kenya,uniqueid_18,Yes,Rural,Yes,6,27,Female,Head of Household,Married/Living together,Secondary education,Self employed
Kenya,uniqueid_19,No,Urban,Yes,1,48,Female,Head of Household,Single/Never Married,Vocational/Specialised training,Formally employed Private
Kenya,uniqueid_20,No,Rural,No,4,25,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,uniqueid_21,No,Rural,Yes,4,26,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,uniqueid_22,Yes,Urban,Yes,1,32,Male,Head of Household,Single/Never Married,Vocational/Specialised training,Self employed
Kenya,uniqueid_23,No,Urban,Yes,4,34,Female,Spouse,Married/Living together,Secondary education,Self employed
Kenya,uniqueid_24,No,Rural,Yes,3,21,Female,Spouse,Married/Living together,Secondary education,Informally employed
Kenya,uniqueid_25,No,Urban,No,7,18,Male,Other relative,Single/Never Married,Secondary education,Remittance Dependent
Kenya,uniqueid_26,No,Rural,Yes,5,22,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,uniqueid_27,No,Rural,No,8,26,Male,Child,Married/Living together,Primary education,Self employed
Kenya,uniqueid_28,No,Urban,Yes,1,31,Female,Head of Household,Single/Never Married,Primary education,Informally employed
Kenya,uniqueid_29,No,Rural,Yes,4,26,Male,Head of Household,Married/Living together,Primary education,Formally employed Private
Kenya,uniqueid_30,No,Rural,No,7,58,Female,Head of Household,Widowed,No formal education,Remittance Dependent
Kenya,uniqueid_31,No,Urban,Yes,5,55,Male,Head of Household,Married/Living together,Secondary education,Informally employed
Kenya,uniqueid_32,No,Urban,Yes,5,38,Male,Head of Household,Married/Living together,Secondary education,Self employed
Kenya,uniqueid_33,Yes,Urban,Yes,4,62,Female,Spouse,Married/Living together,Primary education,Formally employed Government
